                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5992,                 4.3565,                 1.2117,                0.00269,                    0.5,                0.00547,                0.00219,                 2.1401,                 4.0693,                 1.1829,                      0,                      0,                      0
                      2,                 1.5327,                  4.428,                 1.0715,                0.00272,                    0.5,                0.00518,                0.00259,                 2.0992,                 4.0553,                 1.1665,             1.4149e-05,             1.4149e-05,             1.4149e-05
                      3,                 1.4615,                 4.3746,                 1.1333,                0.01315,                    0.6,                 0.0117,                0.00396,                 2.0403,                 4.0343,                 1.1403,             2.8014e-05,             2.8014e-05,             2.8014e-05
                      4,                 1.6941,                  4.329,                 1.1438,                0.01257,                    0.6,                0.01211,                 0.0042,                 1.9482,                 4.0214,                  1.118,             4.1597e-05,             4.1597e-05,             4.1597e-05
                      5,                 1.4685,                 4.4851,                 1.1806,                0.03116,                    0.8,                0.02972,                0.00836,                 1.9005,                 4.0319,                 1.1162,             5.4896e-05,             5.4896e-05,             5.4896e-05
                      6,                 1.2657,                  4.347,                 1.0004,                0.02875,                    0.8,                 0.0307,                0.01041,                 1.7232,                 4.0275,                 1.0714,             6.7913e-05,             6.7913e-05,             6.7913e-05
                      7,                 2.0581,                 4.1309,                 1.2259,                0.03428,                    0.9,                0.03739,                0.01831,                 1.5897,                  4.009,                 1.0315,             8.0647e-05,             8.0647e-05,             8.0647e-05
                      8,                 1.6912,                 4.2037,                 1.1446,                0.03131,                    0.9,                0.04147,                0.01943,                 1.4505,                 4.0037,                 1.0026,             9.3098e-05,             9.3098e-05,             9.3098e-05
                      9,                 1.3835,                 4.0001,                 1.0566,                0.03563,                      1,                0.05676,                0.02196,                  1.329,                 3.9889,                0.97618,             0.00010527,             0.00010527,             0.00010527
                     10,                 1.6318,                 3.8556,                 1.0605,                0.03418,                      1,                0.04472,                0.02093,                 1.2343,                 3.9779,                0.95358,             0.00011715,             0.00011715,             0.00011715
                     11,                 1.3716,                 3.8182,                0.95223,                0.03298,                      1,                0.04943,                0.02067,                 1.1626,                  3.987,                0.93554,             0.00012875,             0.00012875,             0.00012875
                     12,                 1.4028,                 3.5276,                0.97562,                0.03047,                      1,                0.04618,                 0.0242,                 1.0733,                 3.9642,                0.91278,             0.00014007,             0.00014007,             0.00014007
                     13,                 1.4356,                 3.4831,                 1.0371,                0.03098,                      1,                0.04642,                0.03218,                0.98815,                 3.9424,                0.89248,             0.00015111,             0.00015111,             0.00015111
                     14,                 2.1281,                 3.6373,                 1.0356,                0.03138,                      1,                0.04571,                0.03093,                 1.0057,                 3.9316,                0.89405,             0.00016186,             0.00016186,             0.00016186
                     15,                    2.1,                 3.6709,                0.90857,                0.03236,                      1,                0.04656,                0.03056,                 1.0329,                 3.9216,                0.89672,             0.00017233,             0.00017233,             0.00017233
                     16,                 1.3299,                 3.2873,                 0.9168,                0.03224,                      1,                0.04921,                0.03307,                 1.0445,                 3.9059,                0.89544,             0.00018252,             0.00018252,             0.00018252
                     17,                 1.5097,                 3.6905,                 1.0184,                 0.0324,                      1,                0.05363,                 0.0371,                 1.0587,                 3.8861,                0.89383,             0.00019242,             0.00019242,             0.00019242
                     18,                  1.468,                 2.9734,                0.92618,                 0.0324,                      1,                0.05363,                 0.0371,                 1.0587,                 3.8861,                0.89383,             0.00020204,             0.00020204,             0.00020204
                     19,                 1.2705,                   2.87,                0.86017,                0.03086,                      1,                0.05363,                0.03696,                 1.0437,                 3.8548,                0.88429,             0.00021138,             0.00021138,             0.00021138
                     20,                 1.2165,                 2.9607,                0.97718,                0.03086,                      1,                0.05363,                0.03696,                 1.0437,                 3.8548,                0.88429,             0.00022044,             0.00022044,             0.00022044
                     21,                0.98671,                 2.8507,                0.91614,                0.03049,                      1,                0.05816,                0.04128,                 1.0026,                 3.8137,                0.87034,             0.00022921,             0.00022921,             0.00022921
                     22,                 1.2732,                 2.6447,                0.86947,                0.03049,                      1,                0.05816,                0.04128,                 1.0026,                 3.8137,                0.87034,              0.0002377,              0.0002377,              0.0002377
                     23,                 1.8324,                 3.4462,                0.93427,                0.02984,                      1,                0.05632,                0.04215,                0.91655,                 3.7778,                0.86082,             0.00024591,             0.00024591,             0.00024591
                     24,                 1.1414,                 2.3226,                0.92316,                0.02984,                      1,                0.05632,                0.04215,                0.91655,                 3.7778,                0.86082,             0.00025383,             0.00025383,             0.00025383
                     25,                 1.4148,                 2.4971,                0.88335,                0.03134,                      1,                 0.0599,                0.04475,                0.91546,                 3.7176,                 0.8599,             0.00026147,             0.00026147,             0.00026147
